
BubbleSort (Caso1):
,1,4,6,8,12
1000,5,9,3,1,2
10000,175,85,77,71,76

BubbleSort (Caso2):
,1,4,6,8,12
1000,1,2,1,1,4
10000,135,27,27,29,31

BubbleSort (Caso3):
,1,4,6,8,12
1000,1,1,1,2,1
10000,137,30,37,28,30

BubbleSort (Caso4):
,1,4,6,8,12
1000,1,1,1,2,1
10000,131,28,25,28,26

BubbleSort (Caso5):
,1,4,6,8,12
1000,1,2,1,1,2
10000,124,25,28,25,26

MergeSort (Caso1):
,1,4,6,8,12
100000,21,75,33,25,25
5000000,1147,332,268,248,252

MergeSort (Caso2):
,1,4,6,8,12
100000,20,7,7,5,7
5000000,1120,291,264,261,241

MergeSort (Caso3):
,1,4,6,8,12
100000,17,6,5,5,6
5000000,1084,282,250,241,243

MergeSort (Caso4):
,1,4,6,8,12
100000,18,5,5,5,6
5000000,1037,268,277,240,243

MergeSort (Caso5):
,1,4,6,8,12
100000,17,5,4,5,5
5000000,1085,269,246,254,244

QuickSort (Caso1):
,1,4,6,8,12
100,0,1,1,0,0
1000,1,1,2,1,3

QuickSort (Caso2):
,1,4,6,8,12
100,0,0,1,0,0
1000,0,1,0,1,1

QuickSort (Caso3):
,1,4,6,8,12
100,0,0,0,0,1
1000,0,0,1,1,0

QuickSort (Caso4):
,1,4,6,8,12
100,0,1,0,0,0
1000,0,1,1,0,0

QuickSort (Caso5):
,1,4,6,8,12
100,0,1,0,0,0
1000,0,1,0,1,1

CountingSort (Caso1):
,1,4,6,8,12
100000,9,9,7,6,6
5000000,203,56,60,53,33

CountingSort (Caso2):
,1,4,6,8,12
100000,1,2,1,2,2
5000000,225,53,48,52,36

CountingSort (Caso3):
,1,4,6,8,12
100000,2,2,3,2,5
5000000,173,22,23,21,20

CountingSort (Caso4):
,1,4,6,8,12
100000,1,1,1,3,2
5000000,175,25,22,22,21

CountingSort (Caso5):
,1,4,6,8,12
100000,2,1,1,2,1
5000000,224,57,46,46,31
